id,content,skill1,skill2,skill3,skill4,skill5,skill6,skill7,skill8,skill9,skill10
1,Thiago,0,3,0,1,4,0,3,0,0,0
2,Bruno,2,1,3,0,0,0,0,0,2,0
3,Kim,3,2,0,3,0,0,4,4,0,0
4,Gil,5,4,3,0,0,0,2,3,1,0
5,Renata,1,2,0,4,5,3,1,3,1,4
=================================================================================
id,content,criticity,precedes,skill1,skill2,skill3,skill4,skill5,skill6,skill7,skill8,skill9,skill10
1,Task 001,major,-1,0,3,5,5,0,5,4,0,1,0
2,Task 002,minor,12,2,0,0,0,0,5,5,0,0,0
3,Task 003,minor,-1,0,3,0,5,5,2,0,2,0,4
4,Task 004,minor,25,0,0,4,5,1,1,4,0,4,0
5,Task 005,critical,-1,2,1,1,0,4,0,3,1,0,0
6,Task 006,major,-1,0,0,0,1,0,2,2,0,3,0
7,Task 007,minor,-1,0,4,4,4,2,5,0,5,0,0
8,Task 008,minor,-1,0,2,5,4,0,0,0,3,0,5
9,Task 009,major,-1,4,5,0,0,2,3,0,0,0,0
10,Task 010,minor,-1,0,5,0,0,2,0,0,0,1,0
11,Task 011,minor,6,3,1,3,0,2,0,0,2,0,0
12,Task 012,critical,25,0,0,4,1,2,0,0,0,0,2
13,Task 013,minor,-1,0,1,0,0,3,1,0,5,0,3
14,Task 014,minor,10,3,0,0,4,0,1,0,0,0,0
15,Task 015,minor,4,1,0,4,2,4,0,0,4,2,0
16,Task 016,minor,-1,5,0,1,0,4,3,0,0,0,0
17,Task 017,minor,-1,0,5,0,0,0,0,0,2,3,0
18,Task 018,major,-1,1,3,0,0,0,0,0,0,5,0
19,Task 019,minor,10,0,0,0,4,0,0,4,5,5,0
20,Task 020,critical,-1,4,0,0,0,5,0,0,0,4,0
21,Task 021,minor,-1,0,5,5,0,0,0,4,0,0,4
22,Task 022,minor,-1,5,0,2,0,0,4,4,0,0,0
23,Task 023,major,-1,1,2,0,5,2,0,4,0,4,0
24,Task 024,minor,-1,0,0,0,0,2,0,5,2,0,0
25,Task 025,major,-1,0,0,0,0,0,4,5,0,4,3
